X,Y,gid,Name,description,PLN_AREA_N,PLN_AREA_C,CA_IND,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D
103.793357059801,1.32811685037638,3,kml_3,,BUKIT TIMAH,BT,N,CENTRAL REGION,CR,6CCDADD1F85173E9,20191206144714
103.801663729855,1.3760763153317,4,kml_4,,CENTRAL WATER CATCHMENT,CC,N,NORTH REGION,NR,9F30125764C74984,20191206144714
103.748492289621,1.38748624247778,6,kml_6,,CHOA CHU KANG,CK,N,WEST REGION,WR,5224CD5C7960361F,20191206144714
104.049107189729,1.38793586113969,14,kml_14,,NORTH-EASTERN ISLANDS,NE,N,NORTH-EAST REGION,NER,E75708EADCFF04A6,20191206144714
103.725202069889,1.36210762775557,34,kml_34,,TENGAH,TH,N,WEST REGION,WR,0D2FF9150EC36DFE,20191206144714
103.913795898785,1.40676395610064,18,kml_18,,PUNGGOL,PG,N,NORTH-EAST REGION,NER,51833C3BEA49A0E9,20191206144714
103.69820184995,1.31292252466366,22,kml_22,,BOON LAY,BL,N,WEST REGION,WR,D67ECAA47DF4B485,20191206144714
103.892283035035,1.25629153213428,38,kml_38,,MARINA EAST,ME,Y,CENTRAL REGION,CR,1B9566319261C802,20191206144714
103.667422492028,1.30672542813143,17,kml_17,,PIONEER,PN,N,WEST REGION,WR,3202B87B465BF3BD,20191206144714
103.81893279608,1.45707972124936,26,kml_26,,SEMBAWANG,SB,N,NORTH REGION,NR,4794FB10E1985217,20191206144714
103.857280853936,1.4445170044107,29,kml_29,,SIMPANG,SM,N,NORTH REGION,NR,B2610C588D69AD76,20191206144714
103.773753187707,1.27639971471319,24,kml_24,,QUEENSTOWN,QT,N,CENTRAL REGION,CR,1D9A77FAD9B4C935,20191206144714
103.881743284287,1.42072231466002,25,kml_25,,SELETAR,SL,N,NORTH-EAST REGION,NER,56C392DFB629FEE9,20191206144714
103.826155471646,1.22945973359296,30,kml_30,,SOUTHERN ISLANDS,SI,N,CENTRAL REGION,CR,4F0503C0A12D12AF,20191206144714
103.884283268902,1.25169824532579,39,kml_39,,MARINA SOUTH,MS,Y,CENTRAL REGION,CR,B8C58231EDA3C8A6,20191206144714
104.058845773648,1.32422959768437,48,kml_48,,CHANGI BAY,CB,N,EAST REGION,ER,42AC44DA6E3279E0,20191206144714
103.815113882901,1.30761013184321,33,kml_33,,TANGLIN,TN,N,CENTRAL REGION,CR,CC1757F6434A3146,20191206144714
103.72714580575,1.22401844779527,52,kml_52,,WESTERN ISLANDS,WI,N,WEST REGION,WR,FAF4016A22F192E5,20191206144714
103.628906413526,1.27626823793733,36,kml_36,,TUAS,TS,N,WEST REGION,WR,5708A19A15524F9D,20191206144714
103.85608813507,1.2865873830334,37,kml_37,,DOWNTOWN CORE,DT,Y,CENTRAL REGION,CR,CE4B48C87C8B96CF,20191206144714
103.840985064638,1.30850592056866,41,kml_41,,NEWTON,NT,Y,CENTRAL REGION,CR,45715157A7A3A806,20191206144714
103.834064999536,1.30401214499901,42,kml_42,,ORCHARD,OR,Y,CENTRAL REGION,CR,6F796784885688A9,20191206144714
103.868795421649,1.24613306253641,47,kml_47,,STRAITS VIEW,SV,Y,CENTRAL REGION,CR,23358C7A78E76CE2,20191206144714
103.787924992315,1.44361833579329,54,kml_54,,WOODLANDS,WD,N,NORTH REGION,NR,4DBDA89C0D15D5FD,20191206144714
103.821630331767,1.27445745766495,1,kml_1,,BUKIT MERAH,BM,N,CENTRAL REGION,CR,5321BA51A092CCC2,20191206144714
103.773044600612,1.36621742825077,2,kml_2,,BUKIT PANJANG,BP,N,WEST REGION,WR,6C222E4C54F9F0F7,20191206144714
103.716885063141,1.43569854189734,12,kml_12,,LIM CHU KANG,LK,N,NORTH REGION,NR,DF6880B736F7542D,20191206144714
104.001643228806,1.33707939805205,5,kml_5,,CHANGI,CH,N,EAST REGION,ER,6F32A6036888B139,20191206144714
103.760437089196,1.31651129397678,7,kml_7,,CLEMENTI,CL,N,WEST REGION,WR,1B547582113C390E,20191206144714
103.888800155233,1.36094584160563,8,kml_8,,HOUGANG,HG,N,NORTH-EAST REGION,NER,6B18B43959CDE4EB,20191206144714
103.734817277441,1.31726824952097,9,kml_9,,JURONG EAST,JE,N,WEST REGION,WR,97CD8E4DB8DA2A0D,20191206144714
103.704815460352,1.34395538900235,10,kml_10,,JURONG WEST,JW,N,WEST REGION,WR,15407CC4B888BDB5,20191206144714
103.865106846135,1.31232737915326,11,kml_11,,KALLANG,KL,N,CENTRAL REGION,CR,C980FA4CF6B7E928,20191206144714
103.812814986856,1.42710366617709,13,kml_13,,MANDAI,MD,N,NORTH REGION,NR,2B55BA3D015C2922,20191206144714
103.83722836708,1.32609116052636,15,kml_15,,NOVENA,NV,N,CENTRAL REGION,CR,163B19CA54A679AF,20191206144714
